id,name_ko,name_en,brewery_ko,brewery_en,awards_ko,awards_en,ingredients_ko,ingredients_en,description_ko,description_en
0dd47aed-0571-4a4d-9d3c-251623bf96f0,문콕,Munkok,마마스팜,Mama's Farm,,,멥쌀|찹쌀|정제수|누룩,Non-glutinous rice|Glutinous rice|Purified water|Nuruk,문삼이공 막걸리 저도수 버전으로 가벼운 맛 대비 화려한 풍미를 지니는 막걸리,Low-ABV Munsam-igong with vivid flavor in a lighter body.
2a770f7b-9c55-4663-8c32-1ae0ce9d3015,미담,Midam,성광주조,Seonggwang Brewery,2010 우리술 품평회 최우수상,2010 Korean Traditional Liquor Competition Excellence Award,백미(백미 8.035%)|쌀입국(쌀입국 3.214)|쌀팽화미(쌀팽화미 3.214%)|이소말토올리고당|누룩|효모|아스파탐|구연산|정제수,Milled rice 8.035%|Rice koji 3.214%|Puffed rice 3.214%|Isomalto-oligosaccharide|Nuruk|Yeast|Aspartame|Citric acid|Purified water,"15일간 장기발효방법으로 제조하여 효모가 살아있고, 자연발효에 의해 생성된 탄산가스가 청량감과 감칠맛이 특징인 막걸리","15-day fermentation with live yeast and natural carbonation, crisp and savory."
037244a2-5c7e-400b-b022-64e0676c8215,범벅,Beombeok,동백1917,Dongbaek 1917,2024 대한민국 주류대상,2024 Korea Liquor Awards,정제수|멥쌀|쌀누룩,Purified water|Non-glutinous rice|Rice nuruk,"햅쌀 가루를 100°C 끓는 물로 범벅을 밑술로 한 동백만의 특별한 원주, 원주 상태로 판매하여 3개월 이상 보관이 가능하며, 부드럽고 유산균이 풍부한 막걸리","Undiluted signature makgeolli built on a boiled-rice-flour mash. Smooth, lactobacillus-rich, keeps 3+ months."
6e828ce9-979b-4d9a-a37f-40ca95280530,봄이,Bomi,지평주조,Jipyeong Brewery,2025 대한민국 주류대상,2025 Korea Liquor Awards,정제수|쌀|기타과당|국|이산화탄소|구연산|혼합제제|수크랄로스,Purified water|Rice|Fructose|Koji|Carbon dioxide|Citric acid|Mixed additive|Sucralose,,
a2d68b50-3644-4153-9e50-b3ba89f11278,연하,Yeonha,이시보양조장,Isibo Brewery,,,정제수|찹쌀|멥쌀|누룩|보검선인장가루(동결건조분말)|감귤껍질(무농약진피),Purified water|Glutinous rice|Non-glutinous rice|Nuruk|Freeze-dried prickly-pear cactus powder|Pesticide-free tangerine peel,부드러운 질감에 요거트 향과 시트러스 한 향이 나는 것이 특징인 막걸리,Smooth makgeolli with yogurt-like aromas and bright citrus notes.
94718dae-5f0c-4923-86d5-2ffc509f44f8,온섶,Onseop,서울효모방,Seoul Hyomobang,,,정제수|찹쌀|개량누룩|액상효모|유산균배양액(Lactobacillus brevis)|포도당|파인애플과립|계피|생강|감초|육두구씨앗|스타아니스열매,Purified water|Glutinous rice|Modified nuruk|Liquid yeast|Lactobacillus culture|Glucose|Pineapple granules|Cinnamon|Ginger|Licorice|Nutmeg seed|Star anise,"모주나 수정과를 연상하게 하는 부드럽고 진한 계피, 감초, 생강에 한국술에는 생소한 파인애플과 넛맥, 팔각회향을 얹어 전에 없는 맛의 막걸리","Evokes moju or sujeonggwa with smooth cinnamon, licorice, and ginger, layered with pineapple, nutmeg, and star anise."
50f72bd2-3826-4f2c-8cbc-c093eefad6a9,월탁,Woltak,한국술도가,Hanguksuldoga,,,쌀|누룩|정제수,Rice|Nuruk|Purified water,"마시는 사람이 어떤 과일을 생각하는지에 따라 잔 안에 가득히 퍼지는 과일향이 다르게 느껴지며,달콤한 과일향이 후각을 자극하는 막걸리","Fruity aromas that shift with imagination, filling the glass with sweet fruit notes."
45407eaf-62b4-499d-909b-363b4d85cc1f,찰진,Chaljin,남도가양주,Namdo Gayangju,,,정제수|찹쌀|멥쌀|누룩(재래누룩)|누룩(개량누룩),Purified water|Glutinous rice|Non-glutinous rice|Traditional nuruk|Modified nuruk,예로부터 전해져 내려오는 전통주 중 조선시대에 가장 널리 빚어져 왔던 '석탄향' 주조법을 그대로 재현하여 깊고 풍성한 우리술의 풍미를 잘 살려낸 프리미엄 막걸리,"Premium makgeolli reviving the Joseon-era seoktanhyang brewing method for deep, rich traditional flavor."
467c5267-4d8e-4981-9183-990df040e7c0,택이,Taegi,좋은술,Joeunsul,,,찹쌀|멥쌀|정제수|누룩,Glutinous rice|Non-glutinous rice|Purified water|Nuruk,"6개월 이상의 발효와 저온숙성을 거쳐 만든 삼양주, 깔끔하고 부드러운 목넘김이 특징인 막걸리","Three-stage brew aged over 6 months in cold storage, with a clean, smooth finish."
54369e5b-7cf1-4472-a903-54bd1678a258,호땅,Hottang,배혜정도가,Baehyejeong Doga,,,"정제수|쌀|액상과당|국(밀입국)|혼합제제(호두향 YJ-95, 두유향 YJ-155, 커피땅콩향 YJ-154)|땅콩|효모|젖산|효소처리스테비아",Purified water|Rice|High-fructose corn syrup|Wheat koji|Mixed flavoring|Peanut|Yeast|Lactic acid|Enzyme-treated stevia,"땅콩에 호두 향을 더해 담백하고, 풍미가 가득하며 부드러운 맛을 느낄 수 있는 막걸리","Peanut base layered with walnut aroma for a savory, rich, smooth flavor."
4a6498df-9bd2-4b2f-ab18-f530202b696f,고메순,Gomesun,한산도가,Hansan Doga,,,찹쌀|자색고구마|멥쌀|누룩|효모|정제수,Glutinous rice|Purple sweet potato|Non-glutinous rice|Nuruk|Yeast|Purified water,진주 곡자 전통누룩으로 만들어 우리나라 전통 막걸리의 풍미가 살아있으며 살아있는 효모가 계속 발효하여 풍부한 자연 탄산이 특징인 막걸리,Made with Jinju traditional nuruk; rich authentic flavor and lively natural carbonation from ongoing fermentation.
58158f83-049e-4fb9-ad7a-c4c3f9b21723,고메진,Gomejin,한산도가,Hansan Doga,,,찹쌀|자색고구마|멥쌀|누룩|효모|정제수,Glutinous rice|Purple sweet potato|Non-glutinous rice|Nuruk|Yeast|Purified water,"진한 원주에서 느낄 수 있는 전통누룩 특유의 쌉사래하면서 깊고 강렬한 풍미, 높은 도수와 다양하고 깊은 맛으로 우리나라 전통주의 참맛을 느낄 수 있는 막걸리",High-ABV undiluted brew with traditional nuruk's signature bitter depth and complex flavor.
a5591e80-8d4d-4d6d-8b2c-bd64cb49a131,고향춘,Gohyangchun,술빚는전가네,Sulbitneun Jeonganne,2023 우리술 품평회 최우수상,2023 Korean Traditional Liquor Competition Excellence Award,쌀|찹쌀|쌀누룩|정제수,Rice|Glutinous rice|Rice nuruk|Purified water,쌀가루 누룩으로 빚은 과일향과 단맛이 조화를 이룬 막걸리,"Made with rice-flour nuruk, balancing fruity aroma and sweetness."
192f69bf-c1f5-46d5-8f9e-0792c2a8b5a3,담진주,Damjinju,내올담양조장,Naeoldam Brewery,,,쌀|정제수|누룩,Rice|Purified water|Nuruk,"멥쌀과 찹쌀을 사용하여 삼양주로 빚고, 5주간의 발효 기간과 4주간의 숙성 기간을 거쳐 톡 쏘는 산미가 담겼고, 드라이한 맛을 지녔으나 씹을수록 깊은 맛이 느껴지는 막걸리","Three-stage brew fermented 5 weeks and aged 4 weeks; bright acidity, dry upfront, deeper on each sip."
539ec1c8-e0d1-4bde-bcf8-e8cb4dfd14cc,동국이,Dongguki,양평맑은술도가,Yangpyeong Malgeunsuldoga,2023 대한민국 주류대상,2023 Korea Liquor Awards,정제수|쌀(양평산)|입국|누룩(밀함유)|개량누룩|국화꽃(양평산)|효모,Purified water|Yangpyeong rice|Rice koji|Wheat nuruk|Modified nuruk|Yangpyeong chrysanthemum|Yeast,겨울국화 '동국'을 넣어 세 번 빚은 국내유일 국화막걸리,"Korea's only chrysanthemum makgeolli, brewed three times with winter dongguk chrysanthemum."
7b0d52c2-6ae2-4d8b-8832-287e7bf66fbd,백년향,Baegnyeonhyang,추연당,Chuyeondang,2021 우리술 품평회 최우수상,2021 Korean Traditional Liquor Competition Excellence Award,쌀|누룩|정제수,Rice|Nuruk|Purified water,탄산감이 거의 없고 기교 없이 담백한 맛을 가지며 인공감미료가 첨가되지 않아 원재료 그대로의 맛을 느낄 수 있는 막걸리,"Minimal carbonation, clean unpretentious flavor, no artificial sweeteners — pure ingredient taste."
6415e67a-8d0f-410e-a8eb-4cefa1f08527,보은주,Boeunju,중원당,Jungwondang,2022 우리술 품평회 최우수상,2022 Korean Traditional Liquor Competition Excellence Award,찹쌀|멥쌀|누룩|정제수,Glutinous rice|Non-glutinous rice|Nuruk|Purified water,이름처럼 은혜에 감사하는 마음을 전하기 좋은 막걸리,"As its name suggests, a makgeolli for expressing heartfelt gratitude."
ae3bdbda-5376-4d2f-b62b-e604f790dd95,삼해주,Samhaeju,선인양조,Seonin Brewery,,,쌀|누룩(밀누룩)|정제수,Rice|Wheat nuruk|Purified water,"15도 도수가 느껴지지 않을 만큼 부드러우며 단맛, 신맛 등이 적당히 잘 어우러지고 뒷맛도 깔끔한 막걸리","Smooth despite 15% ABV, well-balanced sweet and sour notes with a clean finish."
7dedd005-2f6e-4419-97a3-2b068e521555,설하담,Seolhadam,리큐랩,Liqlab,2023 대한민국 주류대상,2023 Korea Liquor Awards,쌀(국내산 쌀)|정제수(물)|개량 누룩,Korean rice|Purified water|Modified nuruk,젊은 여성층을 타켓으로 깔끔하고 달콤한 맛이 특징이며 탄산을 함유하여 스파클링한 느낌의 막걸리,"Clean, sweet, and sparkling — tuned for younger female drinkers."
3a11c851-6a2c-401d-be8c-ae9e37ce1313,시향가,Sihyangga,시향가,Sihyangga,,,정제수|쌀|건조토란|토란뿌리줄기|누룩|효모,Purified water|Rice|Dried taro|Taro root stem|Nuruk|Yeast,친환경 쌀을 바탕으로 곡성 토란을 담아 전통 방식 그대로 막걸리를 빚었으며 천연 탄산의 청량감과 시원함이 느껴지고 부드러운 목넘김과 깔끔한 맛을 가진 막걸리,"Traditionally brewed with eco-friendly rice and Gokseong taro; refreshing natural carbonation, smooth body, clean taste."
fe32b4f7-496d-4afb-8af3-dd3110dd2fe4,쑥크레,Ssukkeure,주방장양조장,Jubangjang Brewery,,,정제수|멥쌀|찹쌀|누룩|건조쑥,Purified water|Non-glutinous rice|Glutinous rice|Nuruk|Dried mugwort,"향기로운 쑥 향과 단맛의 밸런스가 돋보이며, 쑥 특유의 향긋함이 코끝에 퍼지며 부드럽고 달콤한 맛을 느낄 수 있는 막걸리","Fragrant mugwort aroma balanced with sweetness, smooth and gently sweet on the palate."
d1ad8d10-5a53-41d8-9bfb-fc1ea2ff9170,아홉쌀,Ahopssal,한아양조,Hana Brewery,,,쌀|국|효모|정제수,Rice|Rice koji|Yeast|Purified water,크리미하면서도 경쾌한 질감이 느껴지며 쌀 본연의 향이 더 느껴지는 막걸리,Creamy yet lively texture highlighting rice's natural aroma.
f66148d2-69c4-4dca-ab78-9cdfc5284e33,역전주,Yeokjeonju,역전양조장(역전회관),Yeokjeon Brewery,2021 대한민국 주류대상,2021 Korea Liquor Awards,정제수|멥쌀(국내산)|찹쌀(국내산)|누룩,Purified water|Korean non-glutinous rice|Korean glutinous rice|Nuruk,"100% 국내산 쌀과 찹쌀, 누룩, 물만으로 빚어 저온 발효와 숙성을 거쳐 쌀 본연의 은은한 단맛과 산미가 특징인 막걸리","Made with 100% Korean rice, glutinous rice, nuruk, and water; cold-fermented and aged for subtle sweetness and acidity."
c86c0393-4e71-4342-8687-3fbf07757206,열대야,Yeoldaeya,날씨양조장,Nalssi Brewery,,,쌀|찹쌀|정제수|누룩|망고|레몬,Rice|Glutinous rice|Purified water|Nuruk|Mango|Lemon,상큼한 레몬 과실과 뒤에서 느껴지는 망고 향이 매력적인 막걸리,Bright lemon up front with mango notes lingering behind.
241eacad-29fc-4368-bff2-299003737a96,열두쌀,Yeoldussal,한아양조,Hana Brewery,,,쌀|국|효모|정제수,Rice|Rice koji|Yeast|Purified water,녹진한 쌀의 질감으로 바닐라와 쌀 젤라또 같은 느낌 수 있고 달콤한 쌀의 맛으로 시작해서 끝은 쌉쌀하게 마무리되는 막걸리,Rich rice body with vanilla and rice-gelato notes; sweet opening with a slightly bitter finish.
210a39d2-97d7-4a5f-9de0-bb3c7b9f6127,온지몬,Onjimon,온지술도가,Onji Suldoga,,,찹쌀|누룩|정제수|고구마|감자|레몬청,Glutinous rice|Nuruk|Purified water|Sweet potato|Potato|Lemon syrup,"새콤 달콤 끝판왕 제주산 레몬을 세척 후 슬라이스해 직접 담근 청을 이용, 인공적인 행을 첨가 하지 않고도 자연스러운 레몬의 맛과 향이 잘 느껴지는 막걸리","Hand-sliced Jeju lemon syrup, no artificial additives, vivid natural lemon flavor and aroma."
ead710e3-9948-48df-b709-ad4f8332c413,온지오,Onjio,온지술도가,Onji Suldoga,,,찹쌀|누룩|정제수|건조오미자|고구마|감자,Glutinous rice|Nuruk|Purified water|Dried omija|Sweet potato|Potato,목 넘김이 깔끔해서 가벼운 느낌으로 즐길 수 있는 막걸리,"Clean finish with a light, easy-drinking feel."
ab9a7e98-0949-44ff-a893-e6b5a71ed17f,우곡주,Ugokju,배혜정도가,Baehyejeong Doga,,,"쌀|정제수|효모|국(조효소제 0.15, 정제효소 0.05)|배양액(젖산균배양액)",Rice|Purified water|Yeast|Rice koji|Lactic acid culture,"오랜 연구를 통해 발효미생물의 발효균형기술로 탄생한 제품으로, 국내산 유기농 백미를 사용한 첨가물이 없는 자연 그대로의 막걸리","Years of research into microbial balance; made with Korean organic milled rice, no additives."
56d4e8df-6f7e-44d5-8e7a-58398f569c64,유성별,Yuseongbyeol,아리랑주조,Arirang Brewery,,,정제수|쌀|입국|효모|정제효소제|올리고당|수크랄로스|아스파탐|밀가루,Purified water|Rice|Rice koji|Yeast|Refined enzyme|Oligosaccharide|Sucralose|Aspartame|Wheat flour,,
9d243e56-d870-491e-83f5-12c002e285a3,이화주,Ihwaju,양주골이가,Yangjugol Ega,2022 대한민국 주류대상|2022 우리술 품평회 대상|2021 대한민국 주류대상|2020 대한민국 주류대상|2019 대한민국 주류대상|2018 대한민국 주류대상|2017 대한민국 주류대상|2016 대한민국 주류대상,2022 Korea Liquor Awards|2022 Korean Traditional Liquor Competition Grand Prize|2021 Korea Liquor Awards|2020 Korea Liquor Awards|2019 Korea Liquor Awards|2018 Korea Liquor Awards|2017 Korea Liquor Awards|2016 Korea Liquor Awards,쌀|쌀누룩|정제수,Rice|Rice nuruk|Purified water,농축 요구르트와 같은 된 죽 형태이고 달달한 맛과 독특한 향이 특징인 막걸리,"Thick porridge-like texture akin to concentrated yogurt, with sweet flavor and distinctive aroma."
8561e9c1-6bdf-4721-b9e3-f154a215aa27,일곱쌀,Ilgopssal,한아양조,Hana Brewery,,,쌀|국|효모|정제수,Rice|Rice koji|Yeast|Purified water,"알코올 7% 맑은 청량감과 함께 느껴지는 은은한 단맛, 풋사과향과 바나나, 멜론의 향이 치고 올라오는 막걸리","7% ABV with crisp refreshment, subtle sweetness, and rising notes of green apple, banana, and melon."
2b91aaf7-d8b9-4fa7-a950-7d5978c6ce20,주줌치,Jujumchi,양주골이가,Yangjugol Ega,2024 대한민국 주류대상,2024 Korea Liquor Awards,쌀|정제수|누룩,Rice|Purified water|Nuruk,"3차 담금의 곡주제조법으로 빚은 삼양주로, 드라이한 풍미가 강한 프리미엄 막걸리","Three-stage premium brew using the 3-round mashing method, with a strong dry character."
6f78e175-5176-416d-a3bb-496d93ec86f0,주홍춘,Juhongchun,술빚는전가네,Sulbitneun Jeonganne,,,쌀|흑미찹쌀|쌀누룩|연잎|정제수,Rice|Black glutinous rice|Rice nuruk|Lotus leaf|Purified water,흑미찹쌀로 빚은 달달하고 향긋한 막걸리,"Sweet, fragrant makgeolli brewed with black glutinous rice."
7e449fd9-a79b-4485-b104-26671c431054,청량주,Cheongnyangju,법전양조장,Beopjeon Brewery,,,쌀|누룩|종국|효모|아스파탐|정제수,Rice|Nuruk|Koji starter|Yeast|Aspartame|Purified water,고두밥에 종국을 뿌려 입국을 만드는 과정을 포함하여 대부분 전통방식으로 빚은 막걸리,"Mostly traditional method, including sprinkling koji starter onto steamed rice to make rice koji."
fdcdbb6b-0368-4ca0-9eb4-8cb3431ff21b,황감찰,Hwanggamchal,운곡도가,Ungok Doga,,,찹쌀|쌀|밀가루|누룩|참당귀뿌리|생강|곰솔잎|정제수|효모,Glutinous rice|Rice|Wheat flour|Nuruk|Angelica root|Ginger|Pine needle|Purified water|Yeast,울산의 지역 햅쌀과 전통방식 누룩을 사용하며 높은 감칠맛과 깔끔하게 떨어지는 맛이 특징인 막걸리,Uses Ulsan new rice and traditional nuruk; deep savoriness with a clean finish.
8fc014ba-dd95-4671-a904-899a6f353605,경기백주,Gyeonggi Baekju,과천도가,Gwacheon Doga,,,쌀|정제수|입국|누룩|개량누룩|정제효소제|효모,Rice|Purified water|Rice koji|Nuruk|Modified nuruk|Refined enzyme|Yeast,"생쌀에서 우러나온 깊은 단 맛과 묵직한 질감, 고소한 곡물 향이 잘 드러나는 막걸리","Deep sweetness from raw rice, weighty body, nutty grain aromas."
b66f8670-79bf-4e70-8c89-3adcd3870284,과천미주,Gwacheon Miju,과천도가,Gwacheon Doga,,,정제수|쌀|입국|누룩|개량누룩|효모|정제효소제,Purified water|Rice|Rice koji|Nuruk|Modified nuruk|Yeast|Refined enzyme,맑은 샘물처럼 감미로운 우리 쌀 술. 지게미를 최소화하여 귀하게 빚은 막걸리,"Rice liquor as sweet as clear spring water, carefully brewed with minimal lees."
391e4566-e64d-42c3-a78b-09ebd1624f1a,금풍양조,Geumpung Yangjo,금풍양조장,Geumpung Brewery,,,정제수|쌀|국|효모,Purified water|Rice|Rice koji|Yeast,100년 전통의 양조장에서 빚은 막걸리답게 뛰어난 밸런스의 맛과 부드러운 목넘김이 특징이며 담백한 과실 향에 탄산이 없어 부드러운 목 넘김을 느낄 수 있는 막걸리,"From a 100-year-old brewery — excellent balance, smooth finish, light fruit aromas, and no carbonation."
3902ea75-9e4d-4c79-b014-f74814804e88,김유정역,Kim Yu-jeong Station,예술주조,Yesul Brewery,,,쌀|누룩|정제수,Rice|Nuruk|Purified water,김유정 소설에서 나온 '들병이'의 이야기를 담고자 한 막걸리,Makgeolli honoring the deulbyeongi peddler woman from Kim Yu-jeong's novels.
f43eb41d-d443-4ec2-b3f6-c91f3bcc163d,까망토끼,Kkamangtokki,술샘,Sulsaem,,,쌀|흑미|건조오미자|조효소제|효모|정제수,Rice|Black rice|Dried omija|Crude enzyme|Yeast|Purified water,"용인 백옥쌀과 국내산 흑미를 사용해 파스텔블랙 컬러의 매혹적인 색을 띄며,100% 수작업으로 빚는 프리미엄 막걸리",Yongin baegok rice and Korean black rice give a striking pastel-black color; 100% handcrafted premium makgeolli.
3807e33c-cbac-4749-8def-5f0065a12d9d,낙안읍성,Nagan-eupseong,화목양조장,Hwamok Brewery,,,정제수|찹쌀|누룩,Purified water|Glutinous rice|Nuruk,"낙안뜰에서 친환경 지역 농산물로 재배한 우리 찹쌀, 다양한 발효균이 살아있는 전통누룩 그리고 천연암반수만을 사용하여 진한 감칠맛을 느낄 수 있는 막걸리","Eco-grown local glutinous rice, live-culture traditional nuruk, and natural bedrock water for deep savoriness."
ed9434c4-38b0-4a81-849c-5154f873c739,너디블랑,Nerdyblanc,너드브루어리(상주주조),Nerd Brewery,,,정제수|찹쌀|개량누룩|로즈마리잎|타임잎|효모|정제효소제,Purified water|Glutinous rice|Modified nuruk|Rosemary leaf|Thyme leaf|Yeast|Refined enzyme,"상주산 찹쌀과 전통 누룩을 기반으로, 타임과 로즈마리 허브를 활용해 빚은 감각적인 허브 막걸리입니다.",Sangju glutinous rice and traditional nuruk accented with thyme and rosemary for a refined herbal makgeolli.
6c5cacea-87d9-4b1a-aeed-7f08835ad8d7,너디펀치,Nerdypunch,너드브루어리(상주주조),Nerd Brewery,,,정제수|찹쌀|개량누룩(밀함유)|효모|정제효소제,Purified water|Glutinous rice|Modified nuruk|Yeast|Refined enzyme,"찹쌀의 부드러운 단맛과 최적의 발효온도로 구현한 청량한 산미, 저온 숙성을 통한 풍부한 과실향, 상큼한 피니쉬가 특징인 막걸리","Soft glutinous rice sweetness, crisp acidity, rich cold-aged fruit aroma, and a refreshing finish."
e9273775-2f6e-43ac-bd5e-db77a8801dce,달빛유자,Dalbichyuja,서울장수,Seoul Jangsu,2025 대한민국 주류대상|2024 대한민국 주류대상|2023 대한민국 주류대상|2022 대한민국 주류대상|2021 대한민국 주류대상,2025 Korea Liquor Awards|2024 Korea Liquor Awards|2023 Korea Liquor Awards|2022 Korea Liquor Awards|2021 Korea Liquor Awards,"정제수|쌀(백미)|기타과당|유자과즙|입국|프락토올리고당|이산화탄소|곡자|효소처리스테비아|벌꿀|구연산|혼합제제(효모, 락토밀, 덱스트린)",Purified water|Milled rice|Fructose|Yuja juice|Rice koji|Fructo-oligosaccharide|Carbon dioxide|Nuruk|Enzyme-treated stevia|Honey|Citric acid|Mixed additive,향긋한 고흥 유자 한 알이 통째로 들어간 프리미엄 막걸리,Premium makgeolli with a whole fragrant Goheung yuja citrus inside.
32aea013-4ec1-4118-a330-9dc67dc6f312,대관람차,Daegwallamcha,우창,Uchang,2024 대한민국 주류대상|2023 대한민국 주류대상|2022 대한민국 주류대상,2024 Korea Liquor Awards|2023 Korea Liquor Awards|2022 Korea Liquor Awards,국|쌀|효모|정제수,Rice koji|Rice|Yeast|Purified water,"스피어민트 같은 상쾌하고 시원하면서도 참외와 바닐라가 떠오르는 달콤한 풍미와 적당한 바디감에 탄산이 없으며 부드러운 질감과 목 넘김, 깔끔한 끝맛의 막걸리","Spearmint-like freshness with sweet Korean-melon and vanilla notes; medium body, no carbonation, clean finish."
7c5c9fd0-e08f-4a9f-8fcf-c5516f3ddade,메로니아,Meronia,배혜정도가,Baehyejeong Doga,,,쌀|물엿|합성착향료(메론향)|국|효모|혼합제제류|아스파탐(합성감미료)|젖산|합성 착향료(밀크향)|효소처리스테비아|멜론농축액|정제수,Rice|Corn syrup|Melon flavoring|Rice koji|Yeast|Mixed additive|Aspartame|Lactic acid|Milk flavoring|Enzyme-treated stevia|Melon concentrate|Purified water,막걸리에 멜론특유의 달콤함을 담아 멜론 맛 아이스크림이 그대로 녹아 들어 있는 듯한 막걸리,Melon-flavored makgeolli that tastes like melted melon ice cream.
ff714394-f7e8-4277-9633-749a5f770764,미인탁주,Miin Takju,최행숙전통주가,Choi Haengsuk Jeontongjuga,,,"정제수|찹쌀|국(국내산, 밀)",Purified water|Glutinous rice|Korean wheat rice koji,"일반적인 막걸리와 비교해 텁텁하지 않고 깔끔한 뒷맛을 자랑하는 막걸리로 찹쌀이 가진 본연의 맛과 살짝 감도는 달달함, 부드러운 목 넘김, 향긋한 향이 일품인 막걸리","Cleaner than typical makgeolli, with glutinous rice's natural flavor, light sweetness, smooth body, and fragrant aroma."
c4ae5fcc-975c-4ab8-82cf-7f7450a7e2d2,배금도가,Baegeum Doga,배금도가,Baegeum Doga,,,멥쌀|찹쌀|정제수|누룩,Non-glutinous rice|Glutinous rice|Purified water|Nuruk,찹쌀의 깔끔함과 포도의 상큼 달달함으로 감칠맛과 단맛이 나는 향기로운 포도 막걸리,"Grape makgeolli blending glutinous rice's clean taste with bright, sweet grape notes."
